links,Names,PartyName,Votes
"Manavadar (85)
                                    Gujarat
                                    WON                                  
                                    ARVINDBHAI JINABHAI LADANI
                                    Bharatiya Janata Party",PARMAR MAHESH RAMJIBHAI,Independent,1073 ( -80944)
"Manavadar (85)
                                    Gujarat
                                    WON                                  
                                    ARVINDBHAI JINABHAI LADANI
                                    Bharatiya Janata Party",SOLANKI UMEDBHAI JENTIBHAI,Independent,597 ( -81420)
"Manavadar (85)
                                    Gujarat
                                    WON                                  
                                    ARVINDBHAI JINABHAI LADANI
                                    Bharatiya Janata Party",NOTA,None of the Above,1950 ( -80067)
"Porbandar (83)
                                    Gujarat
                                    WON                                  
                                    ARJUN DEVABHAI MODHWADIA
                                    Bharatiya Janata Party",ARJUN DEVABHAI MODHWADIA,Bharatiya Janata Party,133163 (+ 116808)
"Porbandar (83)
                                    Gujarat
                                    WON                                  
                                    ARJUN DEVABHAI MODHWADIA
                                    Bharatiya Janata Party",ODEDARA RAJU BHIMA,Indian National Congress,16355 ( -116808)
"Porbandar (83)
                                    Gujarat
                                    WON                                  
                                    ARJUN DEVABHAI MODHWADIA
                                    Bharatiya Janata Party",JUNGI JIVANBHAI RANCHHODBHAI,Independent,1089 ( -132074)
"Porbandar (83)
                                    Gujarat
                                    WON                                  
                                    ARJUN DEVABHAI MODHWADIA
                                    Bharatiya Janata Party",RASIK GHELA MANGERA,Viro Ke Vir Indian Party,806 ( -132357)
"Porbandar (83)
                                    Gujarat
                                    WON                                  
                                    ARJUN DEVABHAI MODHWADIA
                                    Bharatiya Janata Party",ASHVIN DEVAJI MOTIVARAS,Independent,477 ( -132686)
"Porbandar (83)
                                    Gujarat
                                    WON                                  
                                    ARJUN DEVABHAI MODHWADIA
                                    Bharatiya Janata Party",DILAWAR LAKHABHAI JOKHIA,Independent,386 ( -132777)
"Porbandar (83)
                                    Gujarat
                                    WON                                  
                                    ARJUN DEVABHAI MODHWADIA
                                    Bharatiya Janata Party",NOTA,None of the Above,2633 ( -130530)
"Vijapur (26)
                                    Gujarat
                                    WON                                  
                                    DR. C. J. CHAVDA
                                    Bharatiya Janata Party",DR. C. J. CHAVDA,Bharatiya Janata Party,100641 (+ 56228)
"Vijapur (26)
                                    Gujarat
                                    WON                                  
                                    DR. C. J. CHAVDA
                                    Bharatiya Janata Party",DINESHBHAI TULSIBHAI PATEL,Indian National Congress,44413 ( -56228)
"Vijapur (26)
                                    Gujarat
                                    WON                                  
                                    DR. C. J. CHAVDA
                                    Bharatiya Janata Party",ANKITKUMAR HARSHADBHAI GOHIL,Independent,964 ( -99677)
"Vijapur (26)
                                    Gujarat
                                    WON                                  
                                    DR. C. J. CHAVDA
                                    Bharatiya Janata Party",PATEL TRUSHALKUMAR ARVINDBHAI,Independent,543 ( -100098)
"Vijapur (26)
                                    Gujarat
                                    WON                                  
                                    DR. C. J. CHAVDA
                                    Bharatiya Janata Party",CHAUHAN DINUSINH LAXMANSINH,Independent,378 ( -100263)
"Vijapur (26)
                                    Gujarat
                                    WON                                  
                                    DR. C. J. CHAVDA
                                    Bharatiya Janata Party",SAIYAD MUNAFALI KADARALI,Independent,347 ( -100294)
"Vijapur (26)
                                    Gujarat
                                    WON                                  
                                    DR. C. J. CHAVDA
                                    Bharatiya Janata Party",PARMAR ARVINDBHAI JIVANBHAI,Independent,321 ( -100320)
"Vijapur (26)
                                    Gujarat
                                    WON                                  
                                    DR. C. J. CHAVDA
                                    Bharatiya Janata Party",CHAUHAN HARSHADKUMAR PURUSHOTTAMBHAI,Independent,314 ( -100327)
"Vijapur (26)
                                    Gujarat
                                    WON                                  
                                    DR. C. J. CHAVDA
                                    Bharatiya Janata Party",NOTA,None of the Above,1195 ( -99446)
"Agiaon (195)
                                    Bihar
                                    WON                                  
                                    SHIV PRAKASH RANJAN
                                    Communist Party of India  (Marxist-Leninist)  (Liberation)",SHIV PRAKASH RANJAN,Communist Party of India  (Marxist-Leninist)  (Liberation),73460 (+ 29835)
"Agiaon (195)
                                    Bihar
                                    WON                                  
                                    SHIV PRAKASH RANJAN
                                    Communist Party of India  (Marxist-Leninist)  (Liberation)",PRABHUNATH PRASAD,Janata Dal  (United),43625 ( -29835)
"Agiaon (195)
                                    Bihar
                                    WON                                  
                                    SHIV PRAKASH RANJAN
                                    Communist Party of India  (Marxist-Leninist)  (Liberation)",UPENDRA KUMAR S/O - CHANDESHWAR RAM,Independent,6418 ( -67042)
"Agiaon (195)
                                    Bihar
                                    WON                                  
                                    SHIV PRAKASH RANJAN
                                    Communist Party of India  (Marxist-Leninist)  (Liberation)",SONU KUMAR,Independent,3322 ( -70138)
"Agiaon (195)
                                    Bihar
                                    WON                                  
                                    SHIV PRAKASH RANJAN
                                    Communist Party of India  (Marxist-Leninist)  (Liberation)",SARASWATI DEVI,Independent,1821 ( -71639)
"Agiaon (195)
                                    Bihar
                                    WON                                  
                                    SHIV PRAKASH RANJAN
                                    Communist Party of India  (Marxist-Leninist)  (Liberation)",VIJAY MEHRA,Independent,1495 ( -71965)
"Agiaon (195)
                                    Bihar
                                    WON                                  
                                    SHIV PRAKASH RANJAN
                                    Communist Party of India  (Marxist-Leninist)  (Liberation)",UPENDRA KUMAR S/O- VAIJNATH RAM,Independent,1383 ( -72077)
"Agiaon (195)
                                    Bihar
                                    WON                                  
                                    SHIV PRAKASH RANJAN
                                    Communist Party of India  (Marxist-Leninist)  (Liberation)",PRADEEP KUMAR,Independent,1304 ( -72156)
"Agiaon (195)
                                    Bihar
                                    WON                                  
                                    SHIV PRAKASH RANJAN
                                    Communist Party of India  (Marxist-Leninist)  (Liberation)",BHIKHARI RAM,Independent,1048 ( -72412)
"Agiaon (195)
                                    Bihar
                                    WON                                  
                                    SHIV PRAKASH RANJAN
                                    Communist Party of India  (Marxist-Leninist)  (Liberation)",NOTA,None of the Above,3931 ( -69529)
